0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:31 +0100] "GET /camunda/api/engine/engine/default/task/count?unfinished=true&assigned=true HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:31 +0100] "GET /camunda/api/engine/engine/default/decision-definition/count?latestVersion=true HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:31 +0100] "GET /camunda/api/engine/engine/default/process-definition/statistics?rootIncidents=true HTTP/1.1" 200 8518
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:31 +0100] "GET /camunda/api/engine/engine/default/task/count?unfinished=true&unassigned=true&withCandidateGroups=true HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:31 +0100] "GET /camunda/api/engine/engine/default/case-definition/count?latestVersion=true HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:31 +0100] "GET /camunda/api/engine/engine/default/task/count?unfinished=true&unassigned=true&withoutCandidateGroups=true HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:31 +0100] "GET /camunda/api/engine/engine/default/deployment/count HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:33 +0100] "GET /camunda/api/engine/engine/default/process-definition/SimpleAdaptableProcess:2:0e783723-5276-11eb-9b07-00d861fc144c HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:33 +0100] "GET /camunda/api/engine/engine/default/process-definition/count?key=SimpleAdaptableProcess&sortBy=version&sortOrder=desc&withoutTenantId=true HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:33 +0100] "GET /camunda/api/engine/engine/default/process-definition/SimpleAdaptableProcess:2:0e783723-5276-11eb-9b07-00d861fc144c/xml HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:33 +0100] "POST /camunda/api/engine/engine/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:33 +0100] "POST /camunda/api/engine/engine/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:34 +0100] "GET /camunda/api/engine/engine/default/job-definition?processDefinitionId=SimpleAdaptableProcess%3A2%3A0e783723-5276-11eb-9b07-00d861fc144c&firstResult=0&maxResults=2000 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:34 +0100] "GET /camunda/api/engine/engine/default/process-definition?key=SimpleAdaptableProcess&sortBy=version&sortOrder=desc&withoutTenantId=true HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:34 +0100] "POST /camunda/api/cockpit/plugin/base/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:34 +0100] "POST /camunda/api/cockpit/plugin/base/default/process-instance?firstResult=0&maxResults=50&sortBy=startTime&sortOrder=desc HTTP/1.1" 200 595
