0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:31 +0100] "POST /camunda/api/engine/engine/default/variable-instance?firstResult=0&maxResults=50&deserializeValues=false HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:31 +0100] "GET /camunda/api/engine/engine/default/process-definition?key=SimpleAdaptableProcess2&sortBy=version&sortOrder=desc&latestVersion=true&maxResults=1&withoutTenantId=true HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:37 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:37 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:39 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:39 +0100] "POST /engine-rest/deployment/develop HTTP/1.1" 500 57
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:44 +0100] "GET /camunda/app/cockpit/default/ HTTP/1.1" 200 2725
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:44 +0100] "GET /camunda/api/cockpit/plugin/cockpitPlugins/static/app/plugin.js HTTP/1.1" 200 1617
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:44 +0100] "GET /camunda/api/cockpit/plugin/cockpitPlugins/static/app/plugin.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:44 +0100] "GET /camunda/api/engine/engine HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:44 +0100] "GET /camunda/api/admin/auth/user/default HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:44 +0100] "GET /camunda/api/engine/engine/default/process-instance/0512b748-60bd-11eb-aa10-00d861fc144c HTTP/1.1" 200 236
