0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:17 +0100] "GET /camunda/api/engine/engine/default/process-definition?key=SimpleAdaptableProcess&sortBy=version&sortOrder=desc&withoutTenantId=true HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:17 +0100] "POST /camunda/api/cockpit/plugin/base/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:17 +0100] "POST /camunda/api/cockpit/plugin/base/default/process-instance?firstResult=0&maxResults=50&sortBy=startTime&sortOrder=desc HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:17 +0100] "GET /camunda/api/engine/engine/default/process-definition/SimpleAdaptableProcess:1:5763e06a-51d1-11eb-bd66-00d861fc144c/statistics?incidents=true HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:19 +0100] "GET /camunda/api/engine/engine/default/process-instance/5766034b-51d1-11eb-bd66-00d861fc144c HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:19 +0100] "GET /camunda/api/engine/engine/default/process-definition/SimpleAdaptableProcess:1:5763e06a-51d1-11eb-bd66-00d861fc144c HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:19 +0100] "POST /camunda/api/engine/engine/default/process-instance?maxResults=1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:19 +0100] "GET /camunda/api/engine/engine/default/process-instance/5766034b-51d1-11eb-bd66-00d861fc144c/activity-instances HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:19 +0100] "GET /camunda/api/engine/engine/default/process-definition/count?key=SimpleAdaptableProcess&sortBy=version&sortOrder=desc&latestVersion=true&maxResults=1&withoutTenantId=true HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:19 +0100] "GET /camunda/api/engine/engine/default/process-definition/SimpleAdaptableProcess:1:5763e06a-51d1-11eb-bd66-00d861fc144c/xml HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:19 +0100] "GET /camunda/api/engine/engine/default/process-definition?key=SimpleAdaptableProcess&sortBy=version&sortOrder=desc&latestVersion=true&maxResults=1&withoutTenantId=true HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:19 +0100] "POST /camunda/api/engine/engine/default/variable-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:19 +0100] "POST /camunda/api/engine/engine/default/variable-instance?firstResult=0&maxResults=50&deserializeValues=false HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:21 +0100] "POST /camunda/api/engine/engine/default/task/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:21 +0100] "POST /camunda/api/engine/engine/default/task?firstResult=0&maxResults=50 HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:23 +0100] "POST /camunda/api/engine/engine/default/task/57662a5e-51d1-11eb-bd66-00d861fc144c/assignee HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:27 +0100] "GET /camunda/app/tasklist/default/ HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:27 +0100] "GET /camunda/api/tasklist/plugin/tasklistPlugins/static/app/plugin.css HTTP/1.1" 200 2894
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:27 +0100] "GET /camunda/api/tasklist/plugin/tasklistPlugins/static/app/plugin.js?bust=7.14.0 HTTP/1.1" 200 26782
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:27 +0100] "GET /camunda/api/engine/engine/ HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [09/Jan/2021:12:38:27 +0100] "GET /camunda/app/tasklist/locales/en.json?_=1610192307694 HTTP/1.1" 200 24436
